AC_No,AC_Name,Winner_Party_2026_FullName,Alliance,Winner_ShortCode_2026,AC_Name_2021,Winner_Party_2021,Winner_Votes_2021,Winner_ShortCode_2021,Seat_Flipped
130,NILAKKOTTAI,Tamilaga Vettri Kazhagam,Solo,TVK,Nilakkottai,ADMK,91461.0,AIADMK,True
131,NATHAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Natham,ADMK,107762.0,AIADMK,False
132,DINDIGUL,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Dindigul,ADMK,90595.0,AIADMK,True
133,VEDASANDUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Vedasandur,DMK,106481.0,DMK,False
134,ARAVAKURICHI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Aravakurichi,DMK,93369.0,DMK,False
135,KARUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Karur,DMK,101757.0,DMK,True
136,KRISHNARAYAPURAM,Tamilaga Vettri Kazhagam,Solo,TVK,Krishnarayapuram,DMK,96540.0,DMK,True
137,KULITHALAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Kulithalai,DMK,100829.0,DMK,False
138,MANAPPARAI,Tamilaga Vettri Kazhagam,Solo,TVK,Manapparai,DMK,98077.0,DMK,True
139,SRIRANGAM,Tamilaga Vettri Kazhagam,Solo,TVK,Srirangam,DMK,113904.0,DMK,True
140,TIRUCHIRAPPALLI (WEST),Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tiruchirappalli (West),DMK,118133.0,DMK,False
141,TIRUCHIRAPPALLI (EAST),Tamilaga Vettri Kazhagam,Solo,TVK,Tiruchirappalli (East),DMK,94302.0,DMK,True
142,THIRUVERUMBUR,Tamilaga Vettri Kazhagam,Solo,TVK,Thiruverumbur,DMK,105424.0,DMK,True
143,LALGUDI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Lalgudi,DMK,84914.0,DMK,True
144,MANACHANALLUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Manachanallur,DMK,116334.0,DMK,False
145,MUSIRI,Tamilaga Vettri Kazhagam,Solo,TVK,Musiri,DMK,90624.0,DMK,True
146,THURAIYUR,Tamilaga Vettri Kazhagam,Solo,TVK,Thuraiyur,DMK,87786.0,DMK,True
147,PERAMBALUR,Tamilaga Vettri Kazhagam,Solo,TVK,Perambalur,DMK,122090.0,DMK,True
148,KUNNAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Kunnam,DMK,103922.0,DMK,False
149,ARIYALUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Ariyalur,DMK,103975.0,DMK,True
150,JAYANKONDAM,Pattali Makkal Katchi,NDA,PMK,Jayankondam,DMK,99529.0,DMK,True
151,TITTAKUDI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tittakudi,DMK,83726.0,DMK,False
152,VRIDDHACHALAM,Desiya Murpokku Dravida Kazhagam,INDIA/SPA,DMDK,Vriddhachalam,INC,77064.0,INC,True
153,NEYVELI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Neyveli,DMK,75177.0,DMK,True
154,PANRUTI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Panruti,DMK,93801.0,DMK,True
155,CUDDALORE,Tamilaga Vettri Kazhagam,Solo,TVK,Cuddalore,DMK,84563.0,DMK,True
156,KURINJIPADI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Kurinjipadi,DMK,101456.0,DMK,False
157,BHUVANAGIRI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Bhuvanagiri,ADMK,96453.0,AIADMK,False
158,CHIDAMBARAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Chidambaram,ADMK,91961.0,AIADMK,True
159,KATTUMANNARKOIL,Viduthalai Chiruthaigal Katchi,INDIA/SPA,VCK,Kattumannarkoil,VCK,86056.0,VCK,False
160,SIRKAZHI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Sirkazhi,DMK,94057.0,DMK,False
161,MAYILADUTHURAI,Indian National Congress,INDIA/SPA,INC,Mayiladuthurai,INC,73642.0,INC,False
162,POOMPUHAR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Poompuhar,DMK,96102.0,DMK,False
163,NAGAPATTINAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Nagapattinam,VCK,66281.0,VCK,True
164,KILVELUR,Communist Party of India (Marxist),INDIA/SPA,CPI(M),Kilvelur,CPI(M),67988.0,CPI(M),False
165,VEDARANYAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Vedaranyam,ADMK,78719.0,AIADMK,False
166,THIRUTHURAIPOONDI,Communist Party of India,INDIA/SPA,CPI,Thiruthuraipoondi,CPI,97092.0,CPI,False
167,MANNARGUDI,Amma Makkal Munnettra Kazagam,NDA,AMMK,Mannargudi,DMK,87172.0,DMK,True
168,THIRUVARUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Thiruvarur,DMK,108906.0,DMK,False
169,NANNILAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Nannilam,ADMK,103637.0,AIADMK,False
170,THIRUVIDAIMARUDUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Thiruvidaimarudur,DMK,95763.0,DMK,False
